method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.001}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.001}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.001}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.001}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.001}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0001}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0001}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0001}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0001}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.0001}",2,gmm,0.24740732781034977
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.001}",2,kmeans,0.19692880122782871
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.001}",2,spectral,0.34874809650655836
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.001}",2,agglomerative,0.3152972469946619
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.001}",2,hdbscan,0.40920348445659527
PCA,"{'n_components': 2, 'svd_solver': 'full', 'tol': 0.001}",2,gmm,0.24740732781034977
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,gmm,0.23104127806946356
