method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,kmeans,0.2127770449197619
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,spectral,0.1787451529955516
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,agglomerative,0.32957980910853096
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,hdbscan,0.29946210652047167
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",2,gmm,0.1943297475718867
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,kmeans,0.2127770449197619
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,spectral,0.1787451529955516
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,agglomerative,0.32957980910853096
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,hdbscan,0.29946210652047167
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",2,gmm,0.1943297475718867
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,kmeans,0.2127770449197619
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,spectral,0.1787451529955516
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,agglomerative,0.32957980910853096
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,hdbscan,0.29946210652047167
PCA,"{'n_components': 2, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",2,gmm,0.1943297475718867
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,kmeans,0.2127770449197619
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,spectral,0.1787451529955516
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,agglomerative,0.32957980910853096
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,hdbscan,0.29946210652047167
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0}",2,gmm,0.1943297475718867
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,kmeans,0.2127770449197619
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,spectral,0.1787451529955516
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,agglomerative,0.32957980910853096
PCA,"{'n_components': 2, 'svd_solver': 'randomized', 'tol': 0.0001}",2,hdbscan,0.29946210652047167
